model_id,output,output_label,input,N_base,S1_mean,S1_std,S1_ci_lo,S1_ci_hi,n_repeats
bnn-phy-mono,iteration2_max_global_stress,Max stress,SS316_k_ref,4096,0.0654418698195421,0.032019090308259925,0.013865418156925526,0.11816702073089455,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,SS316_alpha,4096,-0.0040877260827108745,0.03297756340917369,-0.06768038046431843,0.03412871715758308,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,E_slope,8192,0.027512980956176353,0.02575269418779853,-0.024844045918857728,0.05245134453202692,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,E_intercept,8192,0.5429449951935013,0.010745108145434272,0.5271235968097463,0.5603075961361572,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,nu,8192,0.04492985445504405,0.030640519063145605,0.0045983901518475995,0.08297952388595638,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,alpha_base,8192,0.1910551196510529,0.027696482586084974,0.13849167294330178,0.22259981391601016,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,alpha_slope,8192,0.03577578076350013,0.029078733131896062,-0.0051164397599083086,0.08099862748588738,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,SS316_T_ref,8192,0.015821658221828135,0.023417688480699462,-0.01425591905512501,0.05565016509430392,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,SS316_k_ref,8192,0.0559821976374079,0.03056599287753528,0.015870866559237678,0.10457963498671732,20
bnn-phy-mono,iteration2_max_global_stress,Max stress,SS316_alpha,8192,-0.005789270758332382,0.027633744307615102,-0.052162266714690854,0.03212033334034874,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,E_slope,256,0.008017028417677447,0.0769172926524096,-0.12920856604774503,0.10212363323619728,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,E_intercept,256,0.016480179058763145,0.07970373625480832,-0.1054873631053446,0.12917231729621406,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,nu,256,0.020691131465770445,0.07793917220344894,-0.07111777466071567,0.1519026449611487,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,alpha_base,256,0.7774004836007807,0.01885099141021408,0.7468089339438101,0.8029879545444925,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,alpha_slope,256,0.18250458755914586,0.06616795406204087,0.09864421466294644,0.268311919454515,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,SS316_T_ref,256,0.017766078924966726,0.08018018435783482,-0.08459945577397489,0.14690390439207804,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,SS316_k_ref,256,0.012270635574464594,0.0689892605898564,-0.07628057170853553,0.15582539615622423,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,SS316_alpha,256,0.019479123549483206,0.07722887375070801,-0.09685917211198987,0.142398485748524,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,E_slope,512,0.005360268053972139,0.058456301726998845,-0.1070365944791093,0.056902686428244684,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,E_intercept,512,0.011576204420590458,0.050064056177927,-0.059176092994614904,0.07814823709059193,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,nu,512,0.03128629389257659,0.04777629464541202,-0.043785889095948535,0.09025224664733278,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,alpha_base,512,0.7684686591572876,0.018096280079728966,0.7351797310872369,0.7938363702055691,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,alpha_slope,512,0.19268739638127041,0.052396610818617434,0.10860522696910112,0.2541456008411517,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,SS316_T_ref,512,0.00550534203098183,0.04528794608205211,-0.047749329072445876,0.09071570996560857,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,SS316_k_ref,512,0.01909620837766717,0.04859448757823973,-0.03580444441182842,0.07553999479936274,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,SS316_alpha,512,0.0002507621789401282,0.060188090828001806,-0.09902198924623815,0.09714177592096065,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,E_slope,1024,0.0032721393879235395,0.043486756598569216,-0.08228214930710223,0.05770920598899231,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,E_intercept,1024,-0.004365434354095643,0.04177986381684407,-0.08075685111811023,0.054333547450171146,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,nu,1024,0.01620811587067078,0.04419816245157712,-0.05612570825131369,0.07762512697357904,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,alpha_base,1024,0.769237789020424,0.014954376610138317,0.7511281373010116,0.7942506052911226,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,alpha_slope,1024,0.19570838520565645,0.0422824331986551,0.14303902202342994,0.2490483055205751,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,SS316_T_ref,1024,-0.001137181353729627,0.03770607787308,-0.06313433347525753,0.05249726380242768,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,SS316_k_ref,1024,0.0038722171084977107,0.03521354451269677,-0.0415574950407043,0.052262813589275245,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,SS316_alpha,1024,-0.003273201900178957,0.0415369450967095,-0.06981315404539587,0.048481658846831956,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,E_slope,2048,-0.012738511691731869,0.03665003706489638,-0.07050540592615026,0.032309884142895935,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,E_intercept,2048,-0.022042708366787893,0.046290428158607115,-0.0952800221496597,0.03786569126040937,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,nu,2048,0.0007490393635949221,0.03441284829904104,-0.06333165682777178,0.04186335221174316,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,alpha_base,2048,0.7693486764226629,0.013929405949853467,0.7494756879912445,0.7893671377108613,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,alpha_slope,2048,0.18282002044206766,0.03650935907595023,0.14125216311498565,0.22565768064264244,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,SS316_T_ref,2048,-0.016415908214961118,0.03668075296999948,-0.07052854728652638,0.03470721120978072,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,SS316_k_ref,2048,-0.005560695670836652,0.03543392352429958,-0.06759860733604713,0.032678733267708635,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,SS316_alpha,2048,-0.024243991437177287,0.03628796034222044,-0.05845511317019587,0.030150840439028374,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,E_slope,4096,0.009752109183422869,0.0362683290239465,-0.05159767571732787,0.06187732000478751,20
bnn-phy-mono,iteration2_keff,$k_{\mathrm{eff}}$,E_intercept,4096,0.008345905260653558,0.04469119335929864,-0.06536558854695676,0.07080006086985212,20
