output,input,S1,ST,level
iteration2_max_fuel_temp,SS316_k_ref,0.6898283994197846,0.7335630357265472,2
iteration2_max_fuel_temp,SS316_alpha,0.012662063837051391,0.018017537742853165,2
iteration2_max_monolith_temp,E_slope,0.00048065543174743655,0.0014071727660484611,2
iteration2_max_monolith_temp,E_intercept,0.028634228706359864,0.032098298408091065,2
iteration2_max_monolith_temp,nu,0.008825572729110718,0.012516478486359119,2
iteration2_max_monolith_temp,alpha_base,0.02176156997680664,0.03526464127004147,2
iteration2_max_monolith_temp,alpha_slope,0.0028965723514556884,0.005549443745985627,2
iteration2_max_monolith_temp,SS316_T_ref,0.18674046635627747,0.20028395742177962,2
iteration2_max_monolith_temp,SS316_k_ref,0.7093612992763519,0.7308203494548797,2
iteration2_max_monolith_temp,SS316_alpha,0.00928351640701294,0.015003259349614382,2
iteration2_max_global_stress,E_slope,0.018176419734954832,0.01799583815038204,2
iteration2_max_global_stress,E_intercept,0.19490261793136596,0.19886452466249466,2
iteration2_max_global_stress,nu,0.051602383852005,0.054095590710639956,2
iteration2_max_global_stress,alpha_base,0.059135187864303586,0.06284915216267109,2
iteration2_max_global_stress,alpha_slope,0.008761124610900879,0.009923558011651038,2
iteration2_max_global_stress,SS316_T_ref,0.13129263997077942,0.13495597690343858,2
iteration2_max_global_stress,SS316_k_ref,0.513459849357605,0.5268511688709259,2
iteration2_max_global_stress,SS316_alpha,0.012439064979553223,0.017753722406923772,2
iteration2_wall2,E_slope,0.035098341703414915,0.038538837358355525,2
iteration2_wall2,E_intercept,0.007158737182617187,0.026317550130188466,2
iteration2_wall2,nu,0.044107016324996945,0.06597992524504662,2
iteration2_wall2,alpha_base,0.7170271027088165,0.7417805850505829,2
iteration2_wall2,alpha_slope,0.06946538209915161,0.08256838947534562,2
iteration2_wall2,SS316_T_ref,0.016070228815078736,0.06140052385628223,2
iteration2_wall2,SS316_k_ref,0.01712150454521179,0.07091974809765816,2
iteration2_wall2,SS316_alpha,0.0010816431045532226,0.009791258219629527,2
