iteration2_max_global_stress,iteration2_keff
160.98042,1.1037927
158.60243,1.1023679
164.34561,1.102823
155.7939,1.1039158
164.27058,1.1031731
160.38094,1.1029822
155.20071,1.1040071
159.31517,1.1035742
158.71729,1.1038365
161.38326,1.1036003
158.17555,1.1039295
158.90254,1.1034255
166.0224,1.1034307
162.63882,1.1025254
159.81383,1.1025213
163.1379,1.1031115
164.10579,1.1028395
159.81065,1.10295
161.73712,1.103261
163.10832,1.1026926
159.22702,1.1030525
162.63742,1.1027681
160.49803,1.1021646
161.91797,1.1022077
161.64752,1.1029716
161.87843,1.1037115
151.52654,1.1043277
156.4453,1.1034293
151.92369,1.1045308
156.67706,1.1040258
162.70413,1.1036963
159.53986,1.1026554
156.13982,1.104187
160.2894,1.1035291
161.14023,1.1033838
161.83392,1.1032771
161.18439,1.1031637
157.68684,1.1023365
164.09053,1.1026022
164.16129,1.1029899
161.8374,1.1033925
160.20464,1.1036263
159.94376,1.102211
160.49065,1.10349
166.27538,1.102526
159.79085,1.1041237
163.92287,1.1034346
152.94974,1.1041363
162.14488,1.1034005
163.76694,1.1028826
165.1144,1.1033052
160.96927,1.1034906
158.07156,1.1037228
155.97115,1.1023577
159.6529,1.1029974
148.34973,1.1042849
162.11217,1.1023246
162.62987,1.102285
157.85306,1.104072
150.92508,1.1041169
153.02858,1.1042103
157.64978,1.1039823
161.47359,1.1023414
149.96979,1.1045562
151.49231,1.1046458
166.10591,1.1029493
163.16507,1.1021249
164.133,1.1034515
158.78119,1.1035559
154.12454,1.1042767
157.82536,1.103758
163.7952,1.1027055
154.42503,1.103841
157.67007,1.1038432
164.07426,1.1030735
163.88449,1.1023395
158.17548,1.1036268
164.16757,1.1028786
160.85393,1.103643
160.01108,1.102438
156.83621,1.1043831
158.47586,1.1036515
162.04562,1.1026089
155.28023,1.1041591
162.6771,1.1029326
158.13382,1.1027285
164.544,1.1031837
163.94086,1.1021954
163.0405,1.1033677
147.087,1.1043582
164.36104,1.1028136
155.12611,1.104376
151.51477,1.1044166
152.577,1.104175
158.90471,1.1035172
152.61584,1.1009992
163.96907,1.1037145
154.25871,1.1026632
159.49983,1.1037639
161.9358,1.1025518
161.14485,1.103351
159.73756,1.1032214
160.15613,1.1036069
162.34926,1.1030394
163.86932,1.102714
160.16594,1.1029528
166.41397,1.103082
162.25398,1.1033123
163.17174,1.1037724
164.54057,1.1035008
153.77731,1.104374
156.51843,1.1040955
156.06033,1.1038238
152.70401,1.1043862
164.40686,1.1026999
165.37184,1.1033388
165.41782,1.1027855
161.95001,1.1035689
151.35132,1.1017668
157.74803,1.1033314
158.66954,1.1037061
153.97412,1.1041349
153.9809,1.1044271
157.63718,1.1021442
162.45439,1.103307
163.7875,1.1028913
159.09172,1.1019592
163.09052,1.1037441
157.8807,1.103057
160.12556,1.10243
163.51152,1.1029532
163.86586,1.1027654
157.80643,1.1035913
163.13228,1.103369
161.69417,1.1036153
157.81012,1.1022
156.60547,1.1040634
157.54086,1.1036574
157.33517,1.1019382
162.00098,1.1029116
154.95688,1.1042321
161.48761,1.1026499
165.30345,1.1035063
166.37544,1.1035876
153.43636,1.1043813
159.941,1.1037186
156.25539,1.1038313
159.84662,1.1033609
148.66187,1.1046053
161.79205,1.1029749
166.15904,1.103467
155.73398,1.1038045
163.07722,1.1035185
151.67317,1.1045504
151.62814,1.1042924
166.37854,1.102701
161.61113,1.10254
160.23634,1.1037378
160.47708,1.1034877
166.11157,1.103039
160.39626,1.103892
158.24315,1.1039405
157.72752,1.1037688
163.89821,1.103232
163.10039,1.1024818
162.62428,1.1039492
162.81578,1.1028323
165.1025,1.1032486
159.846,1.1032766
162.68486,1.102485
159.60661,1.1034021
158.32254,1.1039747
151.35558,1.1046902
154.71413,1.1044031
148.07703,1.1047719
