case_i,label,output,y_true,y_hf
4,post_hi_95,iteration1_max_fuel_temp,1091.04,1081.34
4,post_hi_95,iteration1_max_monolith_temp,1054.35,1043.33
4,post_hi_95,iteration1_max_global_stress,141.25,190.8
4,post_hi_95,iteration1_monolith_new_temperature,953.0261772833212,951.4300555297065
4,post_hi_95,iteration1_Hcore_after,152.15197464286376,152.61058990634703
4,post_hi_95,iteration1_wall2,29.900545692499232,29.954980928709574
4,post_hi_95,iteration2_keff,1.103865111455786,1.1024592813500103
4,post_hi_95,iteration2_avg_fuel_temp,997.31,995.08
4,post_hi_95,iteration2_max_fuel_temp,1067.69,1063.33
4,post_hi_95,iteration2_max_monolith_temp,1029.25,1024.56
4,post_hi_95,iteration2_max_global_stress,114.5,160.3
4,post_hi_95,iteration2_monolith_new_temperature,949.8003590038992,949.2202283853138
4,post_hi_95,iteration2_Hcore_after,152.14277738360568,152.60274259046534
4,post_hi_95,iteration2_wall2,29.89815565438472,29.952879178096374
4,post_lo_5,iteration1_avg_fuel_temp,1009.08,1016.61
4,post_lo_5,iteration1_max_fuel_temp,1091.04,1104.36
4,post_lo_5,iteration1_max_monolith_temp,1054.35,1069.58
4,post_lo_5,iteration1_max_global_stress,141.25,114.85
4,post_lo_5,iteration1_monolith_new_temperature,953.0261772833212,955.5060883785943
4,post_lo_5,iteration1_Hcore_after,152.15197464286376,151.8867733996568
4,post_lo_5,iteration1_wall2,29.900545692499232,29.864423493278863
4,post_lo_5,iteration2_keff,1.103865111455786,1.1050751165911559
4,post_lo_5,iteration2_avg_fuel_temp,997.31,1000.57
4,post_lo_5,iteration2_max_fuel_temp,1067.69,1074.36
4,post_lo_5,iteration2_max_monolith_temp,1029.25,1036.44
4,post_lo_5,iteration2_max_global_stress,114.5,89.92
4,post_lo_5,iteration2_monolith_new_temperature,949.8003590038992,950.6175415577223
4,post_lo_5,iteration2_Hcore_after,152.14277738360568,151.8742565578866
4,post_lo_5,iteration2_wall2,29.89815565438472,29.861427127987195
4,post_mean,iteration1_avg_fuel_temp,1009.08,1008.84
4,post_mean,iteration1_max_fuel_temp,1091.04,1090.62
4,post_mean,iteration1_max_monolith_temp,1054.35,1053.87
4,post_mean,iteration1_max_global_stress,141.25,149.4
4,post_mean,iteration1_monolith_new_temperature,953.0261772833212,952.9530717290367
4,post_mean,iteration1_Hcore_after,152.15197464286376,152.24498612996524
4,post_mean,iteration1_wall2,29.900545692499232,29.909240717045925
4,post_mean,iteration2_keff,1.103865111455786,1.1034708974334235
4,post_mean,iteration2_avg_fuel_temp,997.31,997.54
4,post_mean,iteration2_max_fuel_temp,1067.69,1067.93
4,post_mean,iteration2_max_monolith_temp,1029.25,1029.5
4,post_mean,iteration2_max_global_stress,114.5,121.89
4,post_mean,iteration2_monolith_new_temperature,949.8003590038992,949.8679149490615
4,post_mean,iteration2_Hcore_after,152.14277738360568,152.2355746629803
4,post_mean,iteration2_wall2,29.89815565438472,29.90683758196623
5,post_hi_95,iteration1_avg_fuel_temp,1014.72,1004.94
5,post_hi_95,iteration1_max_fuel_temp,1101.04,1083.5
5,post_hi_95,iteration1_max_monolith_temp,1065.76,1045.78
5,post_hi_95,iteration1_max_global_stress,128.05,173.65
5,post_hi_95,iteration1_monolith_new_temperature,954.881636918533,951.7705320521482
5,post_hi_95,iteration1_Hcore_after,152.01270034454367,152.57902314275793
5,post_hi_95,iteration1_wall2,29.872425435252715,29.9470668821418
5,post_hi_95,iteration2_keff,1.1044254697634508,1.1025567445888111
5,post_hi_95,iteration2_avg_fuel_temp,1000.3,995.89
5,post_hi_95,iteration2_max_fuel_temp,1073.45,1064.74
5,post_hi_95,iteration2_max_monolith_temp,1035.66,1026.1
5,post_hi_95,iteration2_max_global_stress,102.0,145.66
5,post_hi_95,iteration2_monolith_new_temperature,950.5468966441668,949.4733491787883
5,post_hi_95,iteration2_Hcore_after,152.00037076968545,152.5709662178008
5,post_hi_95,iteration2_wall2,29.86956996923706,29.94494812781664
5,post_lo_5,iteration1_avg_fuel_temp,1014.72,1019.32
5,post_lo_5,iteration1_max_fuel_temp,1101.04,1109.1
5,post_lo_5,iteration1_max_monolith_temp,1065.76,1075.03
5,post_lo_5,iteration1_max_global_stress,128.05,99.73
5,post_lo_5,iteration1_monolith_new_temperature,954.881636918533,956.4163709019385
5,post_lo_5,iteration1_Hcore_after,152.01270034454367,151.87369566408864
5,post_lo_5,iteration1_wall2,29.872425435252715,29.86004884898191
5,post_lo_5,iteration2_keff,1.1044254697634508,1.1052622102651346
5,post_lo_5,iteration2_avg_fuel_temp,1000.3,1001.74
5,post_lo_5,iteration2_max_fuel_temp,1073.45,1076.45
5,post_lo_5,iteration2_max_monolith_temp,1035.66,1038.86
5,post_lo_5,iteration2_max_global_stress,102.0,77.2
5,post_lo_5,iteration2_monolith_new_temperature,950.5468966441668,950.9305158214281
5,post_lo_5,iteration2_Hcore_after,152.00037076968545,151.8597615668843
5,post_lo_5,iteration2_wall2,29.86956996923706,29.856796997366335
5,post_mean,iteration1_avg_fuel_temp,1014.72,1010.56
5,post_mean,iteration1_max_fuel_temp,1101.04,1093.71
5,post_mean,iteration1_max_monolith_temp,1065.76,1057.39
5,post_mean,iteration1_max_global_stress,128.05,133.47
5,post_mean,iteration1_monolith_new_temperature,954.881636918533,953.4922527514284
