case_i,label,category,row_idx,stress_true_MPa,archived_dir,y_true__iteration2_keff,y_hf__iteration2_keff,abs_err__iteration2_keff,rel_err__iteration2_keff,y_true__iteration2_max_fuel_temp,y_hf__iteration2_max_fuel_temp,abs_err__iteration2_max_fuel_temp,rel_err__iteration2_max_fuel_temp,y_true__iteration2_max_monolith_temp,y_hf__iteration2_max_monolith_temp,abs_err__iteration2_max_monolith_temp,rel_err__iteration2_max_monolith_temp,y_true__iteration2_max_global_stress,y_hf__iteration2_max_global_stress,abs_err__iteration2_max_global_stress,rel_err__iteration2_max_global_stress,y_true__iteration2_wall2,y_hf__iteration2_wall2,abs_err__iteration2_wall2,rel_err__iteration2_wall2
6,post_mean,near,203,127.6,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case006_post_mean,1.103888355286264,1.1038606524872259,2.7702799038076265e-05,2.5095652930311312e-05,1072.76,1070.17,2.589999999999918,0.0024143331220402684,1035.12,1032.05,3.0699999999999363,0.0029658397094056116,127.6,134.2,6.599999999999994,0.05172413793103444,29.906494274993484,29.89713923575393,0.009355039239554941,0.00031280962434226934
7,post_hi_95,near,411,127.92,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case007_post_hi_95,1.1047591508794818,1.10211781052629,0.0026413403531917456,0.002390874382972085,1075.35,1065.95,9.399999999999864,0.008741340028827697,1037.73,1027.48,10.25,0.009877328399487342,127.92,173.86,45.94000000000001,0.3591307066916824,29.87793685980064,29.95522280034927,0.07728594054862725,0.002586722801888368
7,post_lo_5,near,411,127.92,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case007_post_lo_5,1.1047591508794818,1.105292955080115,0.0005338042006330923,0.0004831860412363536,1075.35,1077.86,2.509999999999991,0.002334123773655081,1037.73,1040.52,2.7899999999999636,0.002688560608250666,127.92,95.85,32.07000000000001,0.250703564727955,29.87793685980064,29.862083921894296,0.015852937906345232,0.0005305901133914844
7,post_mean,near,411,127.92,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case007_post_mean,1.1047591508794818,1.1038337012539958,0.0009254496254860189,0.0008376935594960066,1075.35,1071.72,3.6299999999998818,0.0033756451387919116,1037.73,1033.7,4.029999999999973,0.003883476434139875,127.92,131.18,3.260000000000005,0.025484677923702355,29.87793685980064,29.9088210462941,0.030884186493459254,0.0010336786853249052
8,post_hi_95,near,167,126.98,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case008_post_hi_95,1.104000926314725,1.1023803781000725,0.0016205482146525174,0.001467886643956073,1070.58,1068.38,2.199999999999818,0.002054960862336134,1032.41,1030.13,2.2799999999999727,0.00220842494745302,126.98,179.3,52.32000000000001,0.4120333910852103,29.924884035974145,29.956219329133802,0.031335293159656885,0.0010471316487638588
8,post_lo_5,near,167,126.98,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case008_post_lo_5,1.104000926314725,1.1052826501303405,0.001281723815615532,0.001160980742918455,1070.58,1082.67,12.090000000000146,0.011292944011657369,1032.41,1045.98,13.569999999999936,0.013144002867077939,126.98,104.88,22.10000000000001,0.17404315640258314,29.924884035974145,29.86486885973063,0.060015176243513935,0.002005527445699265
8,post_mean,near,167,126.98,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case008_post_mean,1.104000926314725,1.1039132562097365,8.767010498855754e-05,7.941126035211753e-05,1070.58,1074.28,3.7000000000000455,0.003456070541202008,1032.41,1036.65,4.240000000000009,0.004106895516316201,126.98,137.45,10.469999999999985,0.08245392975271684,29.924884035974145,29.909138607878457,0.015745428095687686,0.000526165049687723
9,post_hi_95,near,372,123.51,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case009_post_hi_95,1.1030193051376949,1.1022668785021998,0.0007524266354950182,0.0006821518281596073,1065.58,1069.46,3.880000000000109,0.003641209482160053,1027.07,1031.43,4.360000000000127,0.004245085534579072,123.51,179.22,55.709999999999994,0.451056594607724,29.93176486307628,29.954301149072727,0.022536285996448413,0.0007529220578720066
9,post_lo_5,near,372,123.51,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case009_post_lo_5,1.1030193051376949,1.105484237200314,0.0024649320626191074,0.002234713437142788,1065.58,1083.12,17.539999999999964,0.01646051915388799,1027.07,1046.36,19.289999999999964,0.01878158256009811,123.51,93.72,29.790000000000006,0.2411950449356328,29.93176486307628,29.855261992461603,0.07650287061467509,0.0025559091141013463
9,post_mean,near,372,123.51,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case009_post_mean,1.1030193051376949,1.1041304081359482,0.0011111029982533438,0.0010073286959511917,1065.58,1075.39,9.810000000000173,0.009206253871131378,1027.07,1037.94,10.870000000000118,0.010583504532310474,123.51,131.9,8.39,0.06792972228969314,29.93176486307628,29.90272687248749,0.029037990588786755,0.0009701396065892499
10,post_hi_95,near,273,128.92,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case010_post_hi_95,1.1029416097398572,1.1026627810191691,0.0002788287206880735,0.00025280460744774946,1062.95,1063.04,0.08999999999991815,8.467002210820654e-05,1024.17,1024.26,0.08999999999991815,8.787603620484699e-05,128.92,173.8,44.880000000000024,0.3481228668941982,29.94473514963856,29.95031952996467,0.005584380326109084,0.00018648955478160203
10,post_lo_5,near,273,128.92,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case010_post_lo_5,1.1029416097398572,1.1051016835234264,0.002160073783569194,0.0019584661277569125,1062.95,1074.44,11.490000000000009,0.01080953948915754,1024.17,1036.56,12.389999999999873,0.01209760098421148,128.92,98.02,30.89999999999999,0.23968352466645979,29.94473514963856,29.859232816454195,0.0855023331843654,0.0028553377666256444
10,post_mean,near,273,128.92,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case010_post_mean,1.1029416097398572,1.1041496487703772,0.001208039030520025,0.001095288290741843,1062.95,1068.23,5.279999999999973,0.0049673079636859425,1024.17,1029.79,5.619999999999891,0.00548737026079644,128.92,132.76,3.8400000000000034,0.029785913744958144,29.94473514963856,29.904723330845762,0.04001181879279869,0.0013361887688387733
11,post_hi_95,near,40,129.29,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case011_post_hi_95,1.104371795786488,1.1023684232284001,0.0020033725580879125,0.0018140381398106904,1068.15,1067.38,0.7699999999999818,0.0007208725366287335,1029.75,1029.09,0.6600000000000819,0.000640932265112971,129.29,181.39,52.099999999999994,0.40297006729058704,29.87800071182686,29.94701270214817,0.06901199032131089,0.002309792779876108
11,post_lo_5,near,40,129.29,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case011_post_lo_5,1.104371795786488,1.105306779675289,0.0009349838888008666,0.0008466205786566739,1068.15,1082.38,14.230000000000018,0.013322098956139134,1029.75,1045.59,15.839999999999918,0.015382374362709316,129.29,102.19,27.099999999999994,0.20960631139299246,29.87800071182686,29.8598087040533,0.018192007773560448,0.0006088763417948294
11,post_mean,near,40,129.29,/home/tjzs/Documents/fenics_data/hpr_surrogate/hpr-claude-project/code/bnn0414/code/experiments/posterior/bnn-phy-mono/hf_rerun/results/archive/case011_post_mean,1.104371795786488,1.1039033861061394,0.00046840968034866926,0.00042414129203207984,1068.15,1073.15,5.0,0.0046809904975892895,1029.75,1035.29,5.539999999999964,0.005379946588977872,129.29,136.61,7.320000000000022,0.05661690772681586,29.87800071182686,29.901473896064818,0.023473184237957412,0.000785634369058229
