model_id,output,output_label,nominal_alpha,empirical_coverage,coverage_error,interval_score,MPIW_alpha,is_primary
bnn-data-mono,iteration2_Hcore_after,iteration2_Hcore_after,0.5,0.9977011494252873,0.4977011494252873,0.47204010063286655,0.3580975319445902,False
bnn-data-mono,iteration2_Hcore_after,iteration2_Hcore_after,0.68,0.9977011494252873,0.31770114942528727,0.7047871836483511,0.5279737957422307,False
bnn-data-mono,iteration2_Hcore_after,iteration2_Hcore_after,0.8,0.9977011494252873,0.19770114942528727,0.9615437633015944,0.680396481262812,False
bnn-data-mono,iteration2_Hcore_after,iteration2_Hcore_after,0.9,0.9977011494252873,0.09770114942528729,1.4311344519248157,0.8732794294504782,False
bnn-data-mono,iteration2_Hcore_after,iteration2_Hcore_after,0.95,0.9977011494252873,0.04770114942528736,2.1485853860418778,1.0405766216017964,False
bnn-data-mono,iteration2_Hcore_after,iteration2_Hcore_after,0.99,0.9977011494252873,0.007701149425287324,6.8323347363267155,1.3675494935886903,False
bnn-data-mono,iteration2_wall2,Wall expansion,0.5,1.0,0.5,0.011167116933398296,0.011167116933398393,True
bnn-data-mono,iteration2_wall2,Wall expansion,0.68,1.0,0.31999999999999995,0.016464634879795815,0.016464634879795798,True
bnn-data-mono,iteration2_wall2,Wall expansion,0.8,1.0,0.19999999999999996,0.02121787052280025,0.021217870522800227,True
bnn-data-mono,iteration2_wall2,Wall expansion,0.9,1.0,0.09999999999999998,0.027232841989298918,0.027232841989298852,True
bnn-data-mono,iteration2_wall2,Wall expansion,0.95,1.0,0.050000000000000044,0.0324499326998598,0.03244993269985999,True
bnn-data-mono,iteration2_wall2,Wall expansion,0.99,1.0,0.010000000000000009,0.042646440549826796,0.04264644054982678,True
bnn-phy-mono,iteration1_avg_fuel_temp,iteration1_avg_fuel_temp,0.5,0.6206896551724138,0.12068965517241381,10.334311797305862,6.771856509790741,False
bnn-phy-mono,iteration1_avg_fuel_temp,iteration1_avg_fuel_temp,0.68,0.7816091954022989,0.10160919540229885,12.715523601018726,9.984326801361986,False
bnn-phy-mono,iteration1_avg_fuel_temp,iteration1_avg_fuel_temp,0.8,0.8804597701149425,0.08045977011494243,15.039460291262438,12.866738611287698,False
bnn-phy-mono,iteration1_avg_fuel_temp,iteration1_avg_fuel_temp,0.9,0.9448275862068966,0.04482758620689653,18.19613496665809,16.514280221583927,False
bnn-phy-mono,iteration1_avg_fuel_temp,iteration1_avg_fuel_temp,0.95,0.9770114942528736,0.027011494252873636,20.973978602367065,19.677978596123175,False
bnn-phy-mono,iteration1_avg_fuel_temp,iteration1_avg_fuel_temp,0.99,0.9977011494252873,0.007701149425287324,26.534260179478107,25.8612476057293,False
bnn-phy-mono,iteration1_max_fuel_temp,iteration1_max_fuel_temp,0.5,0.5954022988505747,0.09540229885057472,18.304416177620933,11.933037586252855,False
bnn-phy-mono,iteration1_max_fuel_temp,iteration1_max_fuel_temp,0.68,0.7724137931034483,0.09241379310344822,22.19750487512288,17.5938971568324,False
bnn-phy-mono,iteration1_max_fuel_temp,iteration1_max_fuel_temp,0.8,0.8758620689655172,0.07586206896551717,26.178167925370698,22.67314365551013,False
