level,base_output,input,iter1_rank,iter2_rank,iter1_ST_mean,iter2_ST_mean,iter1_ST_ci_low,iter1_ST_ci_high,iter2_ST_ci_low,iter2_ST_ci_high,iter1_stable,iter2_stable,ST_shift,rank_shift
2,avg_fuel_temp,nu,5,5,0.021934447530657,0.0206510788761079,0.0201939128391032,0.0236749822222108,0.0197425758728551,0.0215595818793607,True,True,-0.001283368654549099,0
2,max_fuel_temp,E_intercept,8,8,0.0030739817419089,0.0036796031636185,0.0028670041539447,0.0032809593298731,0.0035400736441283,0.0038191326831088,True,True,0.0006056214217095997,0
2,max_fuel_temp,E_slope,7,7,0.00692001467105,0.0056482929736375,0.006532734084334,0.0073072952577659,0.0053028311933962,0.0059937547538789,True,True,-0.0012717216974125001,0
2,max_fuel_temp,SS316_T_ref,2,2,0.3080675564706325,0.2745717614889145,0.2948664421619537,0.3212686707793114,0.2660674391802753,0.2830760837975536,True,True,-0.03349579498171801,0
2,max_fuel_temp,SS316_alpha,3,3,0.1217658389359712,0.0404247848317027,0.1152971802328906,0.1282344976390518,0.0382198350316742,0.0426297346317311,True,True,-0.0813410541042685,0
2,max_fuel_temp,SS316_k_ref,1,1,0.6541351109743119,0.7174811750650406,0.6370692511292483,0.6712009708193755,0.6953474395244117,0.7396149106056695,True,True,0.06334606409072874,0
2,max_fuel_temp,alpha_base,4,5,0.0263263928703963,0.0190479955635964,0.0249185601449384,0.0277342255958542,0.0180946846350254,0.0200013064921675,True,True,-0.0072783973067999,1
2,max_fuel_temp,alpha_slope,6,6,0.019449293334037,0.01437309528701,0.0179871355322566,0.0209114511358174,0.0134122464131933,0.0153339441608267,True,True,-0.005076198047026999,0
2,max_fuel_temp,nu,5,4,0.0240079826675355,0.0194790974259376,0.022615933339965,0.025400031995106,0.0184524264928514,0.0205057683590239,True,True,-0.004528885241597901,-1
2,max_monolith_temp,E_intercept,8,8,0.003361366840545,0.0048840406583622,0.0031698383933067,0.0035528952877834,0.0046482409777321,0.0051198403389922,True,True,0.0015226738178171998,0
2,max_monolith_temp,E_slope,7,7,0.0058357780799269,0.0056652055121958,0.0054416438385831,0.0062299123212708,0.0053829180839984,0.0059474929403932,True,True,-0.0001705725677310999,0
2,max_monolith_temp,SS316_T_ref,2,2,0.3289777457714081,0.2560659758746624,0.315246123552523,0.3427093679902931,0.2467453800500745,0.2653865716992502,True,True,-0.07291176989674569,0
2,max_monolith_temp,SS316_alpha,3,3,0.1304729018360376,0.0358324958011508,0.1248186191562332,0.136127184515842,0.0335060781917811,0.0381589134105204,True,True,-0.0946404060348868,0
2,max_monolith_temp,SS316_k_ref,1,1,0.6647343367338181,0.7220964342355728,0.6400609522242356,0.6894077212434006,0.7019961593629677,0.7421967091081779,True,True,0.057362097501754694,0
2,max_monolith_temp,alpha_base,4,4,0.0263704564422369,0.0314353758469223,0.0246822604968473,0.0280586523876264,0.0301214137467702,0.0327493379470745,True,True,0.005064919404685397,0
2,max_monolith_temp,alpha_slope,6,6,0.0207096812315285,0.0213952932506799,0.0190720154667871,0.0223473469962699,0.0201622181756894,0.0226283683256704,True,True,0.0006856120191514013,0
2,max_monolith_temp,nu,5,5,0.0228515606373548,0.0221262627281248,0.0216054191296364,0.0240977021450732,0.0213149811003864,0.0229375443558632,True,True,-0.0007252979092300001,0
2,max_global_stress,E_intercept,1,1,0.5134989425539971,0.651779779791832,0.499899791601293,0.5270980935067012,0.6346032229859654,0.6689563365976986,True,True,0.1382808372378349,0
2,max_global_stress,E_slope,6,3,0.0536475528031587,0.0725166391581297,0.0518886571513524,0.0554064484549651,0.0702757123063387,0.0747575660099207,True,True,0.018869086354970997,-3
2,max_global_stress,SS316_T_ref,4,7,0.0608375357463955,0.0106879667378962,0.0584163726594004,0.0632586988333907,0.0102854073212051,0.0110905261545873,True,True,-0.0501495690084993,3
