benchmark_case_id,parameter,prior_mean,prior_std,prior_var,prior_q05,prior_q50,prior_q95,prior_width90,prior_width50,posterior_mean,posterior_std,posterior_var,posterior_q05,posterior_q50,posterior_q95,posterior_width90,posterior_width50,mean_shift_abs,width90_ratio_post_over_prior,width50_ratio_post_over_prior,var_ratio_post_over_prior,contraction_flag_width90,contraction_flag_var
7,alpha_slope,5.0387994905995575e-09,8.517834840257444e-10,7.255351036590357e-19,3.714536990084372e-09,5.0468381446226e-09,6.369080414524918e-09,2.6545434244405464e-09,1.469489253458473e-09,5.02966446349497e-09,4.506761646283623e-10,2.031090053641307e-19,4.300280045263412e-09,5.055676457498495e-09,5.722549027232061e-09,1.4222689819686488e-09,6.849481215600747e-10,9.135027104587255e-12,0.5357866700818416,0.46611305250993523,0.2799437330320843,True,True
7,SS316_k_ref,22.854863509192764,4.092075379683192,16.74508091300934,16.402615671318923,22.852304661388473,29.301938517328708,12.899322846009785,6.978932241201974,23.38467126635663,1.167233981166921,1.3624351667907801,21.451472794112394,23.446903971094162,25.238970356043236,3.7874975619308415,1.6492649991014794,0.5298077571638657,0.2936198750233194,0.23632053473232006,0.08136330746137496,True,True
8,E_intercept,202546215004.2747,32678297451.079872,1.0678711243012532e+21,151413908885.3861,202260332025.08768,253249952820.10785,101836043934.72174,56737009719.621765,199985674757.09537,6741071233.130131,4.5442041370134585e+19,189002133037.6281,199621288888.5796,211839486756.6353,22837353719.007202,8870333084.51764,2560540247.1793213,0.22425609672785649,0.15634121587218489,0.04255386285481683,True,True
8,alpha_base,9.506986379097543e-06,1.6903151150398356e-06,2.857165188132133e-12,6.824817280161342e-06,9.49798407705992e-06,1.2162438846143364e-05,5.337621565982022e-06,2.8799656351619742e-06,9.751874566675377e-06,4.80146544679084e-07,2.3054070436726367e-13,8.983508843988697e-06,9.744072816707134e-06,1.0561445680176362e-05,1.5779368361876652e-06,6.633088584305407e-07,2.448881875778336e-07,0.29562546101886383,0.23031832405640323,0.08068861587872674,True,True
8,alpha_slope,5.051128351388518e-09,8.536150168576953e-10,7.286585970049634e-19,3.720026631395792e-09,5.0559485583579455e-09,6.376146475154125e-09,2.6561198437583326e-09,1.4771183743885422e-09,4.895646378849398e-09,4.796077833664134e-10,2.3002362586564456e-19,4.100984001166104e-09,4.926573737671745e-09,5.627491708942359e-09,1.526507707776255e-09,6.757342329764247e-10,1.5548197253912007e-10,0.5747134156478011,0.45746789471503735,0.3156809331710632,True,True
8,SS316_k_ref,22.876098368413473,4.079162791757157,16.639569081656045,16.410220159848993,22.94304389345926,29.194095355056646,12.783875195207653,7.008925986541012,22.918504419799337,1.2141850122521476,1.474245243977748,20.78393779393081,23.012673457575758,24.71854969188259,3.934611897951779,1.7412309690930101,0.042406051385864174,0.3077792795901797,0.24843049740240275,0.08859876339003273,True,True
9,E_intercept,202636616945.4087,32819501851.35385,1.0771197017710188e+21,151345823768.1679,203311090340.89258,253463211175.13733,102117387406.96942,56275493791.531555,205033496101.4856,7196825187.518599,5.179429277970212e+19,192801539412.20132,204874467209.17548,216281374566.10718,23479835153.905853,9339885999.850586,2396879156.0769043,0.2299298459363383,0.16596719763045545,0.048085920900472846,True,True
9,alpha_base,9.515052029944441e-06,1.6952607001909088e-06,2.8739088416117706e-12,6.851948015220591e-06,9.507765298034832e-06,1.2150584110398364e-05,5.298636095177773e-06,2.875436229985471e-06,9.2266932981968e-06,4.562970858970638e-07,2.082070305981524e-13,8.497983761511248e-06,9.210049867910977e-06,9.954112938998475e-06,1.4561291774872267e-06,6.461036005402257e-07,2.883587317476404e-07,0.27481207452846834,0.22469759329125877,0.07244733290892551,True,True
9,alpha_slope,5.070920224868581e-09,8.460865364162328e-10,7.158624271048172e-19,3.735823439592445e-09,5.088175526894843e-09,6.385510920128439e-09,2.6496874805359937e-09,1.4618443721611787e-09,4.903643920102701e-09,4.6314106947809657e-10,2.1449965023731508e-19,4.174974473892798e-09,4.9142706500817896e-09,5.6438547082355474e-09,1.4688802343427495e-09,6.743322971478142e-10,1.6727630476588002e-10,0.5543598047440735,0.4612887048645862,0.2996380898279885,True,True
9,SS316_k_ref,22.826832732143217,4.101703036793567,16.823967802041572,16.37584933851732,22.898938854121205,29.153238432598123,12.777389094080803,7.1374764304484515,21.36018770415257,1.1965054822953347,1.4316253691627916,19.3267274430624,21.402351460636613,23.33782860573426,4.01110116267186,1.4982770345756613,1.4666450279906478,0.31392181400580693,0.20991691519764832,0.08509439544868037,True,True
