case_idx,row_idx,category,param,noise_frac,true_value,post_mean,post_std,ci90_half_width,rel_ci90_half_width,post_p5,post_p95,in_90ci_true,mean_accept_rate
3,411,near,alpha_base,0.1,8.417610402280481e-06,9.57190567612589e-06,9.331329784261776e-07,1.5192236950670662e-06,1.490179547416925,8.118611353465355e-06,1.1157058743599488e-05,True,0.6519999999999999
3,411,near,alpha_slope,0.1,4.409618914428119e-09,4.909496212727519e-09,5.045854121022246e-10,8.41442715282027e-10,1.6492667006810962,4.0729138934023886e-09,5.7557993239664425e-09,True,0.6519999999999999
3,411,near,SS316_k_ref,0.1,20.836388472386968,23.88979374272938,2.1444822835619592,3.5489959849005164,1.5644767010284786,20.311041660508284,27.409033630309317,True,0.6519999999999999
4,97,high,E_intercept,0.005,207492295973.9905,213237731347.41125,12620716218.153189,20959019979.11528,1.0515842463691354,191227030241.77692,233145070200.00748,True,0.5668333333333333
4,97,high,alpha_base,0.005,1.1009010794425196e-05,1.0265425894406062e-05,9.971234783577033e-07,1.6616544278224653e-06,1.6298873242011278,8.609653785195986e-06,1.1932962640840916e-05,True,0.5668333333333333
4,97,high,alpha_slope,0.005,5.326848700580527e-09,5.080464504681889e-09,5.026429967534374e-10,8.225328699645882e-10,1.612202527885175,4.26276027626055e-09,5.907826016189726e-09,True,0.5668333333333333
4,97,high,SS316_k_ref,0.005,23.655740689515227,24.6911101619898,1.6057718419245677,2.6625068053687944,1.1736924699411877,22.14090258204854,27.46591619278613,True,0.5668333333333333
4,97,high,E_intercept,0.01,207492295973.9905,212443676454.78012,13973671188.67857,23254944923.72986,1.1667784923314188,190038203187.52744,236548093034.98715,True,0.5723333333333334
4,97,high,alpha_base,0.01,1.1009010794425196e-05,1.0283065421833774e-05,9.65292063084305e-07,1.6050437062673912e-06,1.5743588725979807,8.606608010553573e-06,1.1816695423088356e-05,True,0.5723333333333334
4,97,high,alpha_slope,0.01,5.326848700580527e-09,5.106864291837886e-09,4.817884474121534e-10,7.76432291595703e-10,1.5218432587334327,4.307256033826302e-09,5.860120617017708e-09,True,0.5723333333333334
4,97,high,SS316_k_ref,0.01,23.655740689515227,24.187722505785324,1.919389879891245,3.262559961207124,1.4382093039082435,21.06918568728055,27.5943056096948,True,0.5723333333333334
4,97,high,E_intercept,0.02,207492295973.9905,210608544118.43958,14198855276.168259,23355751701.147156,1.1718363060634016,187193064362.10956,233904567764.40387,True,0.5840000000000001
4,97,high,alpha_base,0.02,1.1009010794425196e-05,1.0332071136732574e-05,1.0367365038143893e-06,1.743752201941305e-06,1.7104155731203556,8.509555977927967e-06,1.1997060381810577e-05,True,0.5840000000000001
4,97,high,alpha_slope,0.02,5.326848700580527e-09,5.069489130063716e-09,5.04501853581384e-10,8.541141372478774e-10,1.6741032747211382,4.242996072788337e-09,5.951224347284092e-09,True,0.5840000000000001
4,97,high,SS316_k_ref,0.02,23.655740689515227,23.32373527331977,2.187522373766488,3.555486719794322,1.5673379619476555,19.56226177826537,26.673235217854014,True,0.5840000000000001
4,97,high,E_intercept,0.03,207492295973.9905,210989898071.064,13874543392.2132,22834058741.470383,1.1456612225726448,189538966079.67975,235207083562.6205,True,0.6005
4,97,high,alpha_base,0.03,1.1009010794425196e-05,1.033620521198408e-05,9.623047938511728e-07,1.56808802539099e-06,1.5381097014050256,8.782758863394358e-06,1.1918934914176338e-05,True,0.6005
4,97,high,alpha_slope,0.03,5.326848700580527e-09,5.16683917154532e-09,4.927768468300532e-10,8.247086049991522e-10,1.6164670693409875,4.351291886652563e-09,6.0007090966508675e-09,True,0.6005
4,97,high,SS316_k_ref,0.03,23.655740689515227,23.115935349599226,2.1783027111718445,3.6536053982383727,1.610590866998695,19.55356253634247,26.860773332819214,True,0.6005
4,97,high,E_intercept,0.05,207492295973.9905,214686367262.53577,13960629086.330063,22865787167.228745,1.1472531439851361,192217111486.89285,237948685821.35034,True,0.6073333333333333
4,97,high,alpha_base,0.05,1.1009010794425196e-05,1.0426601028269029e-05,9.559472807893869e-07,1.6007748846877915e-06,1.5701716613070125,8.823247800937388e-06,1.2024797570312971e-05,True,0.6073333333333333
4,97,high,alpha_slope,0.05,5.326848700580527e-09,5.03475074016305e-09,5.301895496908474e-10,8.862223315450291e-10,1.7370368229134738,4.150976541200183e-09,5.9234212042902415e-09,True,0.6073333333333333
4,97,high,SS316_k_ref,0.05,23.655740689515227,23.286339158969827,2.163965464225002,3.4871882045484988,1.5372304509018453,19.701050154393325,26.675426563490323,True,0.6073333333333333
4,97,high,E_intercept,0.1,207492295973.9905,216354470456.16788,14554529173.039494,23890078973.28836,1.1986452953362294,191970354796.34976,239750512742.92648,True,0.6586666666666667
4,97,high,alpha_base,0.1,1.1009010794425196e-05,1.0387851162512799e-05,8.980408939146431e-07,1.4353762447059948e-06,1.4079350721386423,8.921370231019888e-06,1.1792122720431878e-05,True,0.6586666666666667
4,97,high,alpha_slope,0.1,5.326848700580527e-09,5.072570144088235e-09,4.6259379635093577e-10,7.621603052340286e-10,1.4938695043335328,4.3182350783493315e-09,5.842555688817389e-09,True,0.6586666666666667
