level,input,input_bin,n_in_bin,output,iter,group,bin_x_mean,bin_x_min,bin_x_max,MAE_bin,RMSE_bin,y_true_mean_bin,y_pred_mean_bin,sigma_mean_bin,PICP90_bin
2,alpha_base,"(1.101e-05, +inf)",86,iteration2_wall2,iter2,primary,1.1513042622129817e-05,1.101645433044332e-05,1.244021147210701e-05,0.0010890235738497342,0.0012970126776197647,29.949224157464556,29.94994354248047,0.002835784817058994,1.0
2,alpha_base,"(9.258e-06, 9.804e-06]",85,iteration2_keff,iter2,primary,9.531673003084403e-06,9.276865834387405e-06,9.803072130236768e-06,0.00020549153671497,0.00026232648004127676,1.103795489074222,1.103837490081787,0.000319647132061414,0.9529411764705882
2,alpha_base,"(9.258e-06, 9.804e-06]",85,iteration2_max_fuel_temp,iter2,primary,9.531673003084403e-06,9.276865834387405e-06,9.803072130236768e-06,3.68005405560661,4.810546535305601,1072.8975294117647,1073.4837646484375,4.197039856588384,0.8588235294117647
2,alpha_base,"(9.258e-06, 9.804e-06]",85,iteration2_max_monolith_temp,iter2,primary,9.531673003084403e-06,9.276865834387405e-06,9.803072130236768e-06,4.168943187040428,5.43865955901482,1035.1442352941174,1035.8685302734375,4.803465135786576,0.8235294117647058
2,alpha_base,"(9.258e-06, 9.804e-06]",85,iteration2_max_global_stress,iter2,primary,9.531673003084403e-06,9.276865834387405e-06,9.803072130236768e-06,6.370386122759653,8.37787663417786,155.44011764705883,156.13638305664062,7.9743114851803805,0.8823529411764706
2,alpha_base,"(9.258e-06, 9.804e-06]",85,iteration2_wall2,iter2,primary,9.531673003084403e-06,9.276865834387405e-06,9.803072130236768e-06,0.000746058515377048,0.0008886820447396337,29.908856094447444,29.90903091430664,0.0030355793001119137,1.0
2,alpha_base,"(9.804e-06, 1.033e-05]",87,iteration2_keff,iter2,primary,1.0056685578309961e-05,9.80417842104171e-06,1.0321991730879134e-05,0.00018534990322791652,0.00023526022962394314,1.103434462989891,1.1034468412399292,0.00035292169192209684,0.9770114942528736
2,alpha_base,"(9.804e-06, 1.033e-05]",87,iteration2_max_fuel_temp,iter2,primary,1.0056685578309961e-05,9.80417842104171e-06,1.0321991730879134e-05,3.1626079269935348,3.866922593646976,1075.382988505747,1074.8194580078125,4.246529608141592,0.9425287356321839
2,alpha_base,"(9.804e-06, 1.033e-05]",87,iteration2_max_monolith_temp,iter2,primary,1.0056685578309961e-05,9.80417842104171e-06,1.0321991730879134e-05,3.522691159303161,4.302190987476004,1037.9520689655174,1037.4600830078125,4.852071837075819,0.9425287356321839
2,alpha_base,"(9.804e-06, 1.033e-05]",87,iteration2_max_global_stress,iter2,primary,1.0056685578309961e-05,9.80417842104171e-06,1.0321991730879134e-05,5.099106978493176,6.353598943247107,164.13735632183906,163.62120056152344,8.28800013477011,0.9655172413793104
2,alpha_base,"(9.804e-06, 1.033e-05]",87,iteration2_wall2,iter2,primary,1.0056685578309961e-05,9.80417842104171e-06,1.0321991730879134e-05,0.0007030348073282715,0.0008864094849850786,29.921547492358183,29.922029495239258,0.0030683305369378394,1.0
2,alpha_slope,"(-inf, 4.568e-09]",87,iteration2_keff,iter2,primary,4.254537169072388e-09,3.442085974661171e-09,4.564091909539776e-09,0.00020148355257136388,0.000258206725726975,1.1040405301484408,1.1040246486663818,0.0003146193523082539,0.9425287356321839
2,alpha_slope,"(-inf, 4.568e-09]",87,iteration2_max_fuel_temp,iter2,primary,4.254537169072388e-09,3.442085974661171e-09,4.564091909539776e-09,3.751970860272992,4.635261768616613,1074.4454022988505,1074.0355224609375,4.3436967850631225,0.896551724137931
2,alpha_slope,"(-inf, 4.568e-09]",87,iteration2_max_monolith_temp,iter2,primary,4.254537169072388e-09,3.442085974661171e-09,4.564091909539776e-09,4.144278690732751,5.194778444709471,1036.8426436781613,1036.4361572265625,5.023627717142274,0.896551724137931
2,alpha_slope,"(-inf, 4.568e-09]",87,iteration2_max_global_stress,iter2,primary,4.254537169072388e-09,3.442085974661171e-09,4.564091909539776e-09,6.098404930377829,7.576456354687407,153.71344827586208,153.97218322753906,7.914877892851211,0.9310344827586207
2,alpha_slope,"(-inf, 4.568e-09]",87,iteration2_wall2,iter2,primary,4.254537169072388e-09,3.442085974661171e-09,4.564091909539776e-09,0.0010441176627363831,0.0013210358558063363,29.90409858290488,29.90423583984375,0.003146875066976853,0.9885057471264368
2,alpha_slope,"(4.568e-09, 4.885e-09]",87,iteration2_keff,iter2,primary,4.718392237093123e-09,4.569539896784846e-09,4.87991265451831e-09,0.00021357143643340655,0.00027223345081096514,1.103569500135207,1.1036401987075806,0.00034549261772806,0.9655172413793104
2,alpha_slope,"(4.568e-09, 4.885e-09]",87,iteration2_max_fuel_temp,iter2,primary,4.718392237093123e-09,4.569539896784846e-09,4.87991265451831e-09,3.393476281878596,4.280293602401952,1074.148620689655,1074.42529296875,4.287868364686309,0.9080459770114943
2,alpha_slope,"(4.568e-09, 4.885e-09]",87,iteration2_max_monolith_temp,iter2,primary,4.718392237093123e-09,4.569539896784846e-09,4.87991265451831e-09,3.880296729076865,4.898092608408121,1036.5274712643677,1036.7708740234375,4.871087245468863,0.9080459770114943
