level,input,output,iter,group,pearson_input_true,spearman_input_true,pearson_input_pred,spearman_input_pred,pearson_input_abs_error,spearman_input_abs_error,pearson_input_sq_error,spearman_input_sq_error,pearson_input_sigma,spearman_input_sigma
2,nu,iteration2_Hcore_after,iter2,secondary,-0.020631228139839964,-0.0639567408299192,-0.0016927134428995519,-0.041191708155919105,-0.011860228513876997,0.04729536684885763,-0.013075584820466137,0.04729536684885763,-0.33935375072518037,-0.34797731914806346
2,nu,iteration2_wall2,iter2,primary,0.27398160412615574,0.21843937397925148,0.26450046612502365,0.21177048421470226,-0.10041291301617648,-0.07863460575953214,-0.12321838844383902,-0.07863460575953214,-0.23096700373523135,-0.23934257200752415
2,alpha_base,iteration1_keff,iter1,secondary,,,-0.3424817738234552,-0.39204803380304265,0.20996360858555685,0.19982084177435247,0.17820092383101194,0.19982084177435247,0.05458836209247796,0.07547179576710501
2,alpha_base,iteration1_avg_fuel_temp,iter1,secondary,-0.034653190538516204,-0.02618737089529511,-0.02885238907421082,-0.006147276744025549,-0.07699751036439749,-0.0865226106589087,-0.055524861226989734,-0.0865226106589087,-0.21006996561277988,-0.24449486264207465
2,alpha_base,iteration1_max_fuel_temp,iter1,secondary,-0.03424423814951067,-0.026184058206541905,-0.02028546001058322,-0.0022937845419629304,-0.08429628920345278,-0.0947204594338412,-0.05898335711848498,-0.0947204594338412,-0.21045444026304289,-0.2257831068090028
2,alpha_base,iteration1_max_monolith_temp,iter1,secondary,-0.0343547571564856,-0.02612194095241827,-0.016408012759991975,0.006222867575306136,-0.08828948650972271,-0.09980224657578493,-0.0627190470151442,-0.09980224657578493,-0.2013811211922241,-0.25039495663887507
2,alpha_base,iteration1_max_global_stress,iter1,secondary,0.2525647916410685,0.22730000942937365,0.28336234262889237,0.25439347106420324,-0.029862646186439062,-0.057193814036071954,-0.011685144913256403,-0.057193814036071954,-0.0001662748217774453,0.011211425077252401
2,alpha_base,iteration1_monolith_new_temperature,iter1,secondary,-0.03558599183405601,-0.02616216559101722,-0.01881531934069792,0.0006733196803652704,-0.0826611752978816,-0.10108780058905784,-0.05024822059694809,-0.10108780058905784,-0.17603174665810076,-0.2304318335921158
2,alpha_base,iteration1_Hcore_after,iter1,secondary,0.845155043294301,0.84603843014272,0.8542116396540224,0.8538576859625864,0.09812749214227531,0.11474087114020472,0.0691710960974696,0.11474087114020472,0.703696462692075,0.7233589154352051
2,alpha_base,iteration1_wall2,iter1,secondary,0.8724592258385017,0.8722263112021872,0.8743402680267505,0.8743500337022937,0.07939253179899916,0.100170359966975,0.055668892568977835,0.100170359966975,-0.25636360146024867,-0.23124649427716096
2,alpha_base,iteration2_keff,iter2,primary,-0.8223578966890969,-0.8145146600312609,-0.8825493898131228,-0.8866162067200656,0.07686641003336536,0.1065106575443438,0.04657036192261692,0.1065106575443438,0.6413000492709371,0.658811986931124
2,alpha_base,iteration2_avg_fuel_temp,iter2,secondary,-0.05917793431523676,-0.05688632859388228,-0.030438183723970093,-0.013882106732467599,-0.08637272331737615,-0.09531709470253244,-0.06247813621710122,-0.09531709470253244,-0.37710441889638496,-0.4219399290006475
2,alpha_base,iteration2_max_fuel_temp,iter2,primary,-0.07324026664801915,-0.06978835561795307,-0.061273031165725904,-0.05081227526876065,-0.10894479523803371,-0.11796182686624743,-0.07698596917920487,-0.11796182686624743,-0.3732394941723671,-0.3940589397288545
2,alpha_base,iteration2_max_monolith_temp,iter2,primary,-0.0633781645533053,-0.059993908991024,-0.044193098598550515,-0.02907229202552357,-0.11230664420666397,-0.12267564640448275,-0.0797097683155298,-0.12267564640448275,-0.3859256294610183,-0.3977230175737436
