seed,output,input,S1_mean,S1_ci_lo,S1_ci_hi,ST_mean,ST_ci_lo,ST_ci_hi
2029,iteration2_keff,SS316_alpha,0.0077021748506024765,-0.004129530566991698,0.01953388026819665,0.010080160339931725,0.009433309994779858,0.010727010685083591
2030,iteration2_max_global_stress,E_slope,0.03107397864238074,0.025535859062815885,0.036612098221945596,0.03795590289754925,0.03737549339355892,0.03853631240153958
2030,iteration2_max_global_stress,E_intercept,0.5446822656134325,0.5407116974987417,0.5486528337281232,0.5672490086982738,0.56220501655226,0.5722930008442876
2030,iteration2_max_global_stress,nu,0.05785165122143978,0.05088187752137256,0.064821424921507,0.06694305285355032,0.06599165707190609,0.06789444863519455
2030,iteration2_max_global_stress,alpha_base,0.19527364350378285,0.1888860182569152,0.2016612687506505,0.21734815539826077,0.21479968013190123,0.2198966306646203
2030,iteration2_max_global_stress,alpha_slope,0.03515716761718788,0.028972186427931108,0.04134214880644465,0.04834027842209474,0.04753277867997928,0.049147778164210204
2030,iteration2_max_global_stress,SS316_T_ref,0.01688810665417374,0.010520209131297255,0.023256004177050225,0.03181910628166119,0.031172065285529918,0.032466147277792456
2030,iteration2_max_global_stress,SS316_k_ref,0.05605530850065271,0.05003009234718153,0.06208052465412389,0.07495853678295901,0.07343687224426572,0.0764802013216523
2030,iteration2_max_global_stress,SS316_alpha,-0.002959993899637061,-0.009713682281057937,0.0037936944817838145,0.005371140183951843,0.005185163376659765,0.005557116991243922
2030,iteration2_keff,E_slope,0.0007503946159471053,-0.010080466737574624,0.011581255969468835,0.004675558900622463,0.0042962011278587465,0.005054916673386179
2030,iteration2_keff,E_intercept,0.0036487570617738775,-0.007962495603367464,0.015260009726915217,0.00668317160719742,0.006220225566901707,0.0071461176474931325
2030,iteration2_keff,nu,0.019241077930033396,0.009871640591386243,0.02861051526868055,0.019341095293159048,0.01867353528673848,0.020008655299579615
2030,iteration2_keff,alpha_base,0.7666717794893991,0.7639746311785206,0.7693689278002777,0.7791451575415757,0.7712586908317984,0.7870316242513529
2030,iteration2_keff,alpha_slope,0.1860058815484743,0.1772525645683612,0.19475919852858742,0.20077483751225011,0.1986145254907069,0.20293514953379332
2030,iteration2_keff,SS316_T_ref,0.003241093669123858,-0.007566565848398762,0.014048753186646477,0.011107914197988188,0.010639315104628226,0.01157651329134815
2030,iteration2_keff,SS316_k_ref,0.0008390008528592197,-0.008047628241477678,0.009725629947196118,0.005774264280065008,0.005357990646986945,0.006190537913143071
2030,iteration2_keff,SS316_alpha,-0.002620631899422885,-0.014758473307432941,0.009517209508587171,0.009846500498035244,0.009202654732243742,0.010490346263826746
