case_id,folder_name,subfolder_name,iteration,平均燃料温度,燃料最高温度,单体最高温度,全局最大应力,fuel_new_temperature,monolith_new_temperature,fuel_temp_error,monolith_temp_error,max_fuel_center_temp,max_monolith_temp,Hcore_before,Hcore_after,wall1,wall2,pitch_fuel,pitch_HP,Hcore,monolith_volume_change,total_time,thermal_run_time
2025_05_28_22_02_26_2,2025_05_28_22_02_26,2,1,967.73,1030.77,1025.94,130.55,967.7321670030726,942.9350096944933,1.11754337573736,1.0760418572292774,1030.768859156994,1025.9385724784584,150.0,152.549999034579,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,152.549999034579,0.03777395358039794,480.16735100746155,N/A
2025_05_28_22_02_26_2,2025_05_28_22_02_26,2,2,969.45,1034.15,1024.96,129.38,969.4549481442273,943.1310557918869,0.024529801865280403,0.004314868615893923,1034.1485409966085,1024.9593695829658,152.549999034579,152.55068450515998,8.84,29.918607450327872,1.5999871790626643,2.7712590855953376,152.55068450515998,1.306584494571122e-05,485.16215324401855,N/A
2025_05_28_22_02_26_2,2025_05_28_22_02_26,2,3,969.46,1034.15,1024.96,129.38,969.4554292110344,943.1312788863129,6.685666788598013e-06,4.88909191662302e-06,1034.1486687141892,1024.9582961994292,152.55068450515998,152.55068528524114,8.84,29.91860718177984,1.5999999856384743,2.7712812672353113,152.55068528524114,1.4555458018399791e-08,485.75484323501587,N/A
2025_05_28_22_02_26_7,2025_05_28_22_02_26,7,1,967.67,1030.61,1025.94,130.55,967.6692680468334,942.9350096944933,1.1174381055177127,1.0760418572292774,1030.6063942998926,1025.9385724784584,150.0,152.54999903457895,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,152.54999903457895,0.03777395358039755,465.0637831687927,N/A
2025_05_28_22_02_26_7,2025_05_28_22_02_26,7,2,969.39,1033.99,1024.96,129.38,969.3920800796717,943.1310612065536,0.024552230353727524,0.004314987789780734,1033.9871724473346,1024.959359121903,152.54999903457895,152.55068452409313,8.84,29.918607453515822,1.5999871792331493,2.771259085890626,152.55068452409313,1.3065487337805897e-05,517.1591267585754,N/A
2025_05_28_22_02_26_7,2025_05_28_22_02_26,7,3,969.39,1033.99,1024.96,129.38,969.392567388549,943.1312872646453,6.7783388201912005e-06,4.954039764162035e-06,1033.9872124295443,1024.9582495846753,152.55068452409313,152.55068531453728,8.84,29.918607182219105,1.599999985491479,2.771281266980708,152.55068531453728,1.4688846224310533e-08,528.4270660877228,N/A
2025_05_28_22_02_26_27,2025_05_28_22_02_26,27,1,967.5,1030.17,1025.94,130.55,967.4991269929152,942.9350096944933,1.1171533506157576,1.0760418572292774,1030.166924485592,1025.9385724784584,150.0,152.36596036222315,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,152.36596036222315,0.03661170708079728,463.90765857696533,N/A
2025_05_28_22_02_26_27,2025_05_28_22_02_26,27,2,969.85,1035.18,1024.97,129.39,969.8537321565883,943.1294405951664,0.03363763613668253,0.004279319009295774,1035.1820128557288,1024.968654915729,152.36596036222315,152.36659175681217,8.84,29.918609587939812,1.5999872933778678,2.771259283595078,152.36659175681217,1.3258763754582076e-05,525.7390983104706,N/A
2025_05_28_22_02_26_27,2025_05_28_22_02_26,27,3,969.85,1035.18,1024.97,129.39,969.8543707851347,943.1296196960712,8.82647691267413e-06,3.925117259074418e-06,1035.1827125973919,1024.9677360865917,152.36659175681217,152.36659233845145,8.84,29.918609362415335,1.5999999879393072,2.7712812712204706,152.36659233845145,1.2700536770952205e-08,519.245457649231,N/A
2025_05_28_22_02_26_20,2025_05_28_22_02_26,20,1,968.65,1033.15,1025.94,130.55,968.6531413798172,942.9350096944933,1.1190847554473928,1.0760418572292774,1033.1477067560236,1025.9385724784584,150.0,152.16441623381496,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,152.16441623381496,0.03533568435077399,465.89926409721375,N/A
