case_id,folder_name,subfolder_name,total_iterations,final_fuel_temp_error,final_monolith_temp_error,fuel_converged,monolith_converged,final_avg_fuel_temp,final_max_fuel_temp,final_max_monolith_temp,final_max_stress,final_Hcore,final_wall1,final_wall2,final_pitch_fuel,final_pitch_HP,total_simulation_time,k_eff,std
2025_05_28_22_08_30_30,2025_05_28_22_08_30,30,1,1.1190648353319517,1.0760418572292774,False,False,968.64,1033.12,1025.94,130.55,152.21751718985772,8.84,29.918847192618507,1.6158702281245438,2.7987693335496218,N/A,N/A,N/A
2025_05_28_22_08_30_14,2025_05_28_22_08_30,14,3,5.548529591589791e-06,5.065905584677441e-06,True,True,969.23,1033.58,1024.98,129.4,152.16850317436297,8.84,29.918611553031614,1.5999999841609251,2.771281264676121,1407.49205493927,N/A,N/A
2025_05_28_22_08_30_11,2025_05_28_22_08_30,11,3,5.548529591589791e-06,5.065905584677441e-06,True,True,969.23,1033.58,1024.98,129.4,152.16850317405382,8.84,29.918611553031614,1.5999999841609251,2.771281264676121,1504.819636106491,N/A,N/A
2025_05_28_22_08_30_3,2025_05_28_22_08_30,3,3,9.547597553350045e-06,3.69568802456532e-06,True,True,971.88,1040.39,1024.96,129.38,152.47779029709312,8.84,29.918608250740906,1.5999999884194467,2.771281272052097,1411.7770175933838,N/A,N/A
2025_05_28_22_08_30_24,2025_05_28_22_08_30,24,3,7.227460477757127e-06,4.3846071259403775e-06,True,True,970.44,1036.69,1024.98,129.4,152.21808559413685,8.84,29.918611107805553,1.5999999873936805,2.7712812702754177,1415.3724405765533,N/A,N/A
2025_05_28_22_08_30_19,2025_05_28_22_08_30,19,3,6.505771165195641e-06,4.640860125290079e-06,True,True,969.24,1033.62,1024.98,129.4,152.16850317409254,8.84,29.918611563928927,1.5999999856147902,2.771281267194289,1505.1711764335632,N/A,N/A
2025_05_28_22_02_26_13,2025_05_28_22_02_26,13,3,8.297401375039569e-06,4.001370579282564e-06,True,True,971.09,1038.37,1024.98,129.4,152.1649772012364,8.84,29.918611743836856,1.599999988546676,2.7712812722724647,1423.0769555568695,N/A,N/A
2025_05_28_22_02_26_21,2025_05_28_22_02_26,21,3,7.678145713050343e-06,4.1552195957636295e-06,True,True,969.9,1035.31,1024.97,129.39,152.24578779692015,8.84,29.91861073582165,1.5999999860340164,2.7712812679204104,1507.3246705532074,N/A,N/A
2025_05_28_22_02_26_9,2025_05_28_22_02_26,9,3,7.987443906251597e-06,4.292444491525766e-06,True,True,970.68,1037.3,1024.96,129.38,152.55068502890833,8.84,29.918607283099885,1.5999999883167897,2.77128127187429,1511.6311292648315,N/A,N/A
2025_05_28_22_02_26_6,2025_05_28_22_02_26,6,3,6.506606739610671e-06,4.737692417648468e-06,True,True,969.57,1034.44,1024.96,129.38,152.55068525492868,8.84,29.91860720138044,1.5999999861127596,2.7712812680567978,1510.3279094696045,N/A,N/A
