case_id,E_slope,E_intercept,nu,alpha_base,alpha_slope,SS316_T_ref,SS316_k_ref,SS316_alpha,SS316_scale,k_eff,std
2025_05_28_22_02_26_16,-70514313.09934613,188198798679.0953,0.35949549138458003,9.905366668152405e-06,4.606047024887627e-09,944.3517521551397,26.43656393768891,0.014237907571021708,0.010225167729523692,N/A,N/A
2025_05_28_22_02_26_28,-80793908.91756098,246392447783.98526,0.2786984831192514,1.0241413999723049e-05,4.904747572555911e-09,960.2047583995301,20.605234165527957,0.013616697454512505,0.010991146783556395,N/A,N/A
2025_05_28_22_02_26_26,-80793908.91756098,246392447783.98526,0.2786984831192514,9.20261118666717e-06,4.904747572555911e-09,990.5240576874875,20.605234165527957,0.013616697454512505,0.010991146783556395,N/A,N/A
2025_05_28_22_02_26_10,-74577086.48069423,177574980246.7269,0.29228737668042215,9.799490939151337e-06,5.570189178485796e-09,849.1119684056025,22.445460865373025,0.01451333466747918,0.01083863836359635,N/A,N/A
2025_05_28_22_02_26_5,-64454915.86034274,204272789292.2351,0.29985786182033225,1.1069026904060473e-05,5.570189178485796e-09,892.3308949824108,22.74284324107197,0.01259261713721946,0.008682042167258142,N/A,N/A
2025_05_28_22_02_26_23,-62745304.962919526,246392447783.98526,0.2786984831192514,1.0241413999723049e-05,4.904747572555911e-09,990.5240576874875,20.605234165527957,0.013616697454512505,0.010991146783556395,N/A,N/A
2025_05_28_22_02_26_8,-64454915.86034274,204272789292.2351,0.29985786182033225,1.1069026904060473e-05,5.599472409838121e-09,892.3308949824108,22.74284324107197,0.01451333466747918,0.008682042167258142,N/A,N/A
2025_05_28_22_02_26_12,-67148960.4696901,188198798679.0953,0.35949549138458003,9.905366668152405e-06,4.342401337102353e-09,944.3517521551397,26.43656393768891,0.014237907571021708,0.010225167729523692,N/A,N/A
2025_05_28_22_02_26_30,-80793908.91756098,246392447783.98526,0.2786984831192514,1.0241413999723049e-05,4.904747572555911e-09,990.5240576874875,20.605234165527957,0.012281980659591771,0.010991146783556395,N/A,N/A
2025_05_28_22_02_26_14,-70514313.09934613,188198798679.0953,0.3190323133477149,9.905366668152405e-06,4.342401337102353e-09,944.3517521551397,26.43656393768891,0.014237907571021708,0.010225167729523692,N/A,N/A
2025_05_28_22_02_26_11,-70514313.09934613,188198798679.0953,0.35949549138458003,9.905366668152405e-06,4.342401337102353e-09,944.3517521551397,26.43656393768891,0.014237907571021708,0.010225167729523692,N/A,N/A
2025_05_28_22_02_26_3,-64454915.86034274,204272789292.2351,0.29228737668042215,1.1069026904060473e-05,5.599472409838121e-09,892.3308949824108,22.74284324107197,0.01259261713721946,0.008682042167258142,N/A,N/A
2025_05_28_22_02_26_24,-80793908.91756098,207046451475.72855,0.2786984831192514,1.0241413999723049e-05,4.904747572555911e-09,990.5240576874875,20.605234165527957,0.013616697454512505,0.010991146783556395,N/A,N/A
2025_05_28_22_02_26_19,-70514313.09934613,188198798679.0953,0.35949549138458003,9.905366668152405e-06,4.342401337102353e-09,944.3517521551397,26.43656393768891,0.013194321896708591,0.010225167729523692,N/A,N/A
