E_slope,E_intercept,nu,alpha_base,alpha_slope,SS316_T_ref,SS316_k_ref,SS316_alpha,iteration1_avg_fuel_temp,iteration1_max_fuel_temp,iteration1_max_monolith_temp,iteration1_max_global_stress,iteration1_monolith_new_temperature,iteration1_Hcore_after,iteration1_wall2,iteration2_avg_fuel_temp,iteration2_max_fuel_temp,iteration2_max_monolith_temp,iteration2_max_global_stress,iteration2_monolith_new_temperature,iteration2_Hcore_after,iteration2_wall2,iteration3_avg_fuel_temp,iteration3_max_fuel_temp,iteration3_max_monolith_temp,iteration3_max_global_stress,iteration3_monolith_new_temperature,iteration3_Hcore_after,iteration3_wall2
-72801812.51089719,223998636888.22995,0.3626825760479224,1.02957693118335e-05,5.060958535178651e-09,923.7750820523676,22.798443310878003,0.0136616843507324,913.93,933.99,926.1980315769796,48.87,903.122365936991,152.21961130577,29.904740699323355,916.14,939.77,926.0527670809382,48.6,903.1513048438374,152.2197022703031,29.904747798650263,916.14,939.78,926.0527776592486,48.6,903.1512686619834,152.21970215657083,29.90474778671474
-71939712.11251432,212870877601.40784,0.3029589004203967,9.990487422195078e-06,5.220150446978673e-09,893.1278957199827,23.970409417285797,0.0127601302107077,914.17,934.62,926.198011339298,41.28,903.1223682008756,152.20420117282472,29.88957433153176,916.07,939.58,926.0515771892416,41.05,903.1515177137554,152.20429293062654,29.88958120607158,916.07,939.58,926.0515825949144,41.05,903.1514868083416,152.20429283334084,29.88958119496842
-61415553.80256581,222853247471.81943,0.2989737114065047,9.484915370297706e-06,5.69388808060326e-09,924.3705470580702,23.82377325313367,0.0157363031559029,913.59,933.06,926.1980315769796,46.21,903.122365936991,152.2129242834479,29.88737087562505,915.95,939.25,926.0512434595128,45.95,903.1515723310592,152.21301837682702,29.88737796749326,915.95,939.25,926.0512613230524,45.95,903.1515299861836,152.2130182404047,29.88737795211383
-64058970.49690733,180562648335.96027,0.3316339764653491,1.01863837873643e-05,3.994630685898131e-09,1065.0179999430757,20.055042210396127,0.0138401338433808,912.62,930.42,926.1980315769796,33.52,903.122365936991,152.0309975754765,29.87864719213658,914.83,936.23,926.052681345696,33.33,903.151445962034,152.03107870948733,29.878653297367,914.83,936.23,926.0527061886828,33.33,903.1514113449356,152.03107861290417,29.87865328613781
-73866339.1450294,199301782575.77765,0.2790444084531888,1.0661133479560148e-05,4.709142887748042e-09,860.9048762600896,21.760623400889376,0.012980698551454,913.19,931.98,926.1980315769796,36.28,903.122365936991,152.21176591301872,29.888412254946296,914.86,936.31,926.0513358673064,36.08,903.1515630168057,152.21185604387182,29.888418808618265,914.86,936.31,926.0513416613788,36.08,903.1515384218856,152.2118559679473,29.88841879891684
-65237449.15263108,204038651684.11295,0.3203496265220333,1.3092652928525877e-05,4.9707454357947275e-09,826.9878375563168,20.417496246452185,0.0119631430258712,913.51,932.83,926.1980315769796,49.68,903.122365936991,152.58379714730816,29.945558730560645,915.24,937.35,926.0519590876536,49.4,903.151240914994,152.58389920188816,29.945566290224637,915.24,937.35,926.0519735339858,49.4,903.151211544954,152.5838990980832,29.94556627775325
-69624465.66636129,207030898046.37308,0.3079744028904478,9.90609112460802e-06,5.32727782439923e-09,1071.9817199513575,24.127668881584214,0.0131521875603957,913.35,932.42,926.1980315769796,40.56,903.122365936991,152.2102282945306,29.890815866935363,915.2,937.22,926.051590770698,40.34,903.151517685188,152.21032067699176,29.89082282882912,915.2,937.22,926.0515690540078,40.34,903.1514896835585,152.21032058825372,29.89082281791673
-64924996.9224654,192010078028.33997,0.2595744997310036,1.0906548803485133e-05,4.851234633918575e-09,794.1548062204917,21.85684973402061,0.0132375178263719,913.92,933.96,926.198011339298,36.43,903.1223682008756,152.2681707550739,29.89090309061863,915.91,939.14,926.0508828255616,36.22,903.1515980649866,152.26826337535604,29.89090972057585,915.91,939.14,926.0509044204704,36.22,903.151555613924,152.26826324084104,29.890909704395764
-61841370.21743927,217444532023.02887,0.2749876647450535,9.225264071424308e-06,5.427170865146717e-09,1005.8291273117334,20.4425689415639,0.0125297303072609,912.77,930.82,926.1980315769796,41.65,903.122365936991,152.134278841527,29.873713802436257,914.5,935.33,926.050939289348,41.42,903.1516752784506,152.13436965523164,29.873720514742853,914.5,935.33,926.050940195184,41.42,903.1516513487818,152.13436958108613,29.873720507451687
-85273812.98397645,186811279129.9141,0.2967747592177266,9.807063823936034e-06,4.855493662055885e-09,943.1900955062134,22.467285233424576,0.0126939936233597,913.37,932.46,926.1980315769796,29.32,903.122365936991,152.11991948338397,29.879136818187664,915.11,937.0,926.051609558236,29.15,903.1515570442256,152.12000720585877,29.87914333863969,915.11,937.0,926.051621948106,29.15,903.1515329181666,152.1200071333568,29.879143330514356
-76832014.26251328,204685416285.4731,0.3161709434296997,9.134211354014684e-06,4.816760951551108e-09,965.7985229095672,26.077587089812884,0.0125614138371777,914.76,936.23,926.1980315769796,35.3,903.122365936991,152.02245641455522,29.87007335807726,916.74,941.4,926.0520491322388,35.11,903.151521178088,152.02254072989106,29.87007974946843,916.74,941.4,926.052058444983,35.11,903.151489863827,152.0225406393313,29.870079741132795
