case_i,pool_case_index,label,category,row_idx,stress_true_MPa,theta9_post__E_slope,theta9_post__E_intercept,theta9_post__nu,theta9_post__alpha_base,theta9_post__alpha_slope,theta9_post__SS316_T_ref,theta9_post__SS316_k_ref,theta9_post__SS316_alpha,theta9_post__SS316_scale,y_true__iteration1_avg_fuel_temp,y_true__iteration1_max_fuel_temp,y_true__iteration1_max_monolith_temp,y_true__iteration1_max_global_stress,y_true__iteration1_monolith_new_temperature,y_true__iteration1_Hcore_after,y_true__iteration1_wall2,y_true__iteration2_keff,y_true__iteration2_avg_fuel_temp,y_true__iteration2_max_fuel_temp,y_true__iteration2_max_monolith_temp,y_true__iteration2_max_global_stress,y_true__iteration2_monolith_new_temperature,y_true__iteration2_Hcore_after,y_true__iteration2_wall2
10,10,post_mean,near,273,128.92,-65893668.86068594,186402583869.736,0.2892362332117961,9.647347617528208e-06,4.902033453742926e-09,739.5297093119098,23.99619844413091,0.0146553401223593,0.01,1003.95,1081.67,1043.71,154.33,951.4819342802951,152.52510310266538,29.946798271423248,1.1029416097398572,994.97,1062.95,1024.17,128.92,949.196484149362,152.51762330264694,29.94473514963856
10,10,post_lo_5,near,273,128.92,-65893668.86068594,165259366045.03613,0.2892362332117961,8.060560588255306e-06,4.095226773616361e-09,739.5297093119098,20.29902262491016,0.0146553401223593,0.01,1003.95,1081.67,1043.71,154.33,951.4819342802951,152.52510310266538,29.946798271423248,1.1029416097398572,994.97,1062.95,1024.17,128.92,949.196484149362,152.51762330264694,29.94473514963856
10,10,post_hi_95,near,273,128.92,-65893668.86068594,209295996227.28467,0.2892362332117961,1.1247177018831645e-05,5.705405228100557e-09,739.5297093119098,27.488652228523023,0.0146553401223593,0.01,1003.95,1081.67,1043.71,154.33,951.4819342802951,152.52510310266538,29.946798271423248,1.1029416097398572,994.97,1062.95,1024.17,128.92,949.196484149362,152.51762330264694,29.94473514963856
11,11,post_mean,near,40,129.29,-68205503.93034297,186956527759.2121,0.2907937271356905,9.48280789655582e-06,4.8547598203602615e-09,853.8394071453199,22.972691825170283,0.0098344433856367,0.01,1004.76,1083.16,1045.4,147.82,951.7170380665166,152.05373880850314,29.879334845493627,1.104371795786488,997.69,1068.15,1029.75,129.29,949.8864909084672,152.0485225333848,29.87800071182686
11,11,post_lo_5,near,40,129.29,-68205503.93034297,163829669397.4111,0.2907937271356905,8.11922715759827e-06,4.0078461709535205e-09,853.8394071453199,18.64975857916588,0.0098344433856367,0.01,1004.76,1083.16,1045.4,147.82,951.7170380665166,152.05373880850314,29.879334845493627,1.104371795786488,997.69,1068.15,1029.75,129.29,949.8864909084672,152.0485225333848,29.87800071182686
11,11,post_hi_95,near,40,129.29,-68205503.93034297,212318467161.30563,0.2907937271356905,1.1059378062241762e-05,5.675698919209327e-09,853.8394071453199,26.45091317185185,0.0098344433856367,0.01,1004.76,1083.16,1045.4,147.82,951.7170380665166,152.05373880850314,29.879334845493627,1.104371795786488,997.69,1068.15,1029.75,129.29,949.8864909084672,152.0485225333848,29.87800071182686
12,12,post_mean,high,97,169.54,-66339036.658871934,214366456806.36533,0.2597925767613683,1.0372824480348877e-05,5.065940220161587e-09,963.0628210580649,24.044604601798994,0.0147630497653363,0.01,1012.89,1097.84,1062.12,216.93,954.236267090635,152.53208564482517,29.93565542815919,1.1032062348315432,998.22,1069.36,1031.16,169.54,950.0428489759184,152.5177750568584,29.932201189987275
12,12,post_lo_5,high,97,169.54,-66339036.658871934,191884225282.32584,0.2597925767613683,8.898225880905169e-06,4.343117913857374e-09,963.0628210580649,20.157037026818045,0.0147630497653363,0.01,1012.89,1097.84,1062.12,216.93,954.236267090635,152.53208564482517,29.93565542815919,1.1032062348315432,998.22,1069.36,1031.16,169.54,950.0428489759184,152.5177750568584,29.932201189987275
12,12,post_hi_95,high,97,169.54,-66339036.658871934,235750113799.1841,0.2597925767613683,1.1881520429140402e-05,5.811791859559469e-09,963.0628210580649,27.55583221448021,0.0147630497653363,0.01,1012.89,1097.84,1062.12,216.93,954.236267090635,152.53208564482517,29.93565542815919,1.1032062348315432,998.22,1069.36,1031.16,169.54,950.0428489759184,152.5177750568584,29.932201189987275
13,13,post_mean,high,394,176.02,-65713531.40181972,204482364546.66425,0.3181819182490276,1.0108586382837854e-05,5.015869186220797e-09,831.8546393344685,22.24442554227987,0.013163404534757,0.01,1028.89,1125.55,1094.06,229.43,959.7161409130496,152.23839633943328,29.911504384388174,1.104173392795757,1007.7,1087.08,1051.04,176.02,952.7107575200536,152.2169696691981,29.90658636430181
